SampleDate,Fishery,FishNumber,Length,Weight,Gonad,gear,Age,District,Subdistrict
4/29/2018,4,283,315,412,5,5,9,326,21
4/29/2018,4,282,247,179,5,5,4,326,21
4/29/2018,4,280,272,256,7,5,7,326,21
4/29/2018,4,279,242,208,5,5,4,326,21
4/29/2018,4,374,262,228,5,5,5,326,21
4/29/2018,4,111,233,161,5,5,6,326,21
4/29/2018,4,373,244,195,5,5,5,326,21
4/29/2018,4,377,251,217,3,5,4,326,21
4/29/2018,4,278,308,416,5,5,28,326,21
4/29/2018,4,284,256,215,3,5,6,326,21
4/29/2018,4,376,320,431,5,5,9,326,21
4/29/2018,4,380,275,261,5,5,6,326,21
4/29/2018,4,286,257,180,7,5,5,326,21
4/29/2018,4,378,300,369,5,5,8,326,21
4/29/2018,4,379,255,239,5,5,4,326,21
4/29/2018,4,287,270,271,5,5,5,326,21
4/29/2018,4,277,300,352,3,5,9,326,21
4/29/2018,4,365,265,238,5,5,5,326,21
4/29/2018,4,285,301,355,5,5,10,326,21
4/29/2018,4,366,290,329,5,5,8,326,21
4/29/2018,4,382,249,190,5,5,5,326,21
4/29/2018,4,360,300,286,7,5,9,326,21
4/29/2018,4,100,328,458,5,5,9,326,21
4/29/2018,4,361,273,259,5,5,6,326,21
4/29/2018,4,269,246,187,3,5,8,326,21
4/29/2018,4,362,247,179,5,5,5,326,21
4/29/2018,4,363,252,166,7,5,5,326,21
4/29/2018,4,272,247,202,5,5,4,326,21
4/29/2018,4,270,318,371,5,5,28,326,21
4/29/2018,4,372,268,252,5,5,5,326,21
4/29/2018,4,367,242,189,5,5,28,326,21
4/29/2018,4,273,278,268,5,5,5,326,21
4/29/2018,4,368,254,231,5,5,7,326,21
4/29/2018,4,369,293,368,5,5,8,326,21
4/29/2018,4,274,250,190,5,5,4,326,21
4/29/2018,4,275,295,349,5,5,7,326,21
4/29/2018,4,370,274,256,5,5,6,326,21
4/29/2018,4,276,289,314,5,5,7,326,21
4/29/2018,4,364,239,193,3,5,7,326,21
4/29/2018,4,298,252,208,3,5,28,326,21
4/29/2018,4,359,286,250,7,5,8,326,21
