tot_mat_B_tons tot_obs_aerial_tons res_aerial init_age_3 est_seine_comp4 est_seine_comp5 est_seine_comp6 est_seine_comp7 est_seine_comp8 est_seine_comp9 est_seine_comp10 est_seine_comp11 est_seine_comp12 obs_seine_comp4 obs_seine_comp5 obs_seine_comp6 obs_seine_comp7 obs_seine_comp8 obs_seine_comp9 obs_seine_comp10 obs_seine_comp11 obs_seine_comp12 est_mat_comp4 est_mat_comp5 est_mat_comp6 est_mat_comp7 est_mat_comp8 est_mat_comp9 est_mat_comp10 est_mat_comp11 est_mat_comp12 obs_mat_comp4 obs_mat_comp5 obs_mat_comp6 obs_mat_comp7 obs_mat_comp8 obs_mat_comp9 obs_mat_comp10 obs_mat_comp11 obs_mat_comp12 tot_post_N N tot_sp_N tot_mat_N tot_obs_aerial_tuned_tons threshold
 64274.6 68686 0 99.6091 0.0361839 0.0162677 0.416024 0.407489 0.0967378 0.00527975 0.00774361 0.00527997 0.00899429 0.00851253 0.00576284 0.445105 0.426549 0.0840221 0.00368821 0.00938519 0.0053512 0.0116245 0.0802065 0.0230283 0.417226 0.349253 0.104122 0.0050606 0.00742219 0.00506081 0.00862095 0.0506386 0.00867424 0.410698 0.384908 0.124554 0.00545795 0.00329681 0.00439433 0.00737756 354.9 429.665 122.843 197.608 0 35000
 108947 158650 0.37584 1770.66 0.4302 0.0491238 0.0168404 0.274537 0.183658 0.0367171 0.00163043 0.00253067 0.0047628 0.492963 0.0801866 0.0155961 0.233307 0.124084 0.047904 0.00172444 0.00344889 0.000786144 0.628711 0.0458473 0.011135 0.155136 0.130329 0.0232029 0.00103033 0.00159923 0.0030098 0.618559 0.0711888 0.0116213 0.167271 0.0944092 0.0337819 0.000549775 0.00243042 0.00018854 1986.14 2033.65 400.619 448.125 158650 35000
 206133 97902.8 -0 1596.83 0.220877 0.503013 0.0449648 0.0107333 0.128107 0.0758151 0.0132666 0.000585426 0.00263716 0.216545 0.551155 0.0337405 0.0083308 0.124326 0.0538505 0.0086212 0.0019602 0.0014701 0.330298 0.480368 0.0304219 0.00620607 0.0930205 0.0490235 0.00857845 0.000378548 0.00170524 0.216264 0.552254 0.0305208 0.00879569 0.119062 0.0600468 0.00955443 0.00197552 0.0015259 2988.13 3068.62 688.762 769.255 0 35000
 287348 233702 -0.206646 658.546 0.057882 0.288675 0.516933 0.0323135 0.00580415 0.0604318 0.0314806 0.00539325 0.00108596 0.0163544 0.269053 0.583155 0.0187768 0.0182464 0.0714521 0.0229621 0 0 0.108399 0.345248 0.438 0.0233989 0.005278 0.0489374 0.0254928 0.00436743 0.000879403 0.0701773 0.388226 0.44052 0.0158735 0.0165695 0.0495321 0.0156251 0.00253163 0.000944485 2786.49 2872.83 880.322 966.67 233702 35000
 331784 114879 -0 190.567 0.0128511 0.0918055 0.362742 0.458503 0.0211923 0.00322684 0.0302761 0.0161062 0.00329688 0.0023327 0.0551937 0.365009 0.434925 0.0260343 0.0742298 0.0370379 0.0052377 0 0.0288109 0.131439 0.367936 0.397455 0.0230699 0.00312815 0.0293502 0.0156136 0.00319605 0.00521962 0.0387008 0.337612 0.414987 0.0373457 0.112578 0.0514954 0.00203841 2.3263e-005 2195.76 2255.43 992.791 1052.46 0 35000
 416013 131400 -0 434.375 0.0267341 0.0243112 0.138913 0.391638 0.370128 0.0149749 0.00148987 0.0192979 0.0125134 0.0179866 0.0177078 0.0843558 0.32775 0.415418 0.0732188 0.0419862 0.0160694 0.0055075 0.0584814 0.0339626 0.137484 0.331259 0.393148 0.0141649 0.00140928 0.018254 0.0118365 0.0305641 0.0238908 0.0977167 0.35921 0.385394 0.0576152 0.0321415 0.0115833 0.00188434 1990.02 2061.5 1110.38 1181.85 0 35000
 420944 94770 -0 87.056 0.00574087 0.0593591 0.0431757 0.175815 0.369319 0.311103 0.0107748 0.000904916 0.0238078 0 0.0228407 0.0206427 0.162706 0.416568 0.299097 0.0419686 0.0251871 0.0109897 0.0124703 0.0823434 0.0424325 0.147668 0.389541 0.292212 0.0101206 0.000849969 0.0223622 0 0.0200674 0.0297848 0.174498 0.446115 0.266344 0.0451536 0.0130333 0.00500318 1518.85 1561.72 1067.93 1110.8 0 35000
 418231 88397.5 -0 322.679 0.0241021 0.0134947 0.11196 0.058385 0.17823 0.334429 0.250869 0.00856613 0.0199642 0.0023547 0.0010322 0.10151 0.107251 0.256629 0.426714 0.0823495 0.0124186 0.0097413 0.0526341 0.0188198 0.11062 0.0492997 0.188992 0.315799 0.236894 0.00808894 0.0188521 0.00224455 0.00410985 0.103633 0.114132 0.289961 0.401888 0.0667631 0.0114697 0.00579878 1412.76 1448.19 940.058 975.483 0 35000
 338155 134718 -0 260.331 0.0226554 0.0582805 0.0261865 0.155811 0.060817 0.16607 0.277355 0.209173 0.0236514 0.0094564 0.0756126 0.0157351 0.165352 0.0582695 0.182695 0.305513 0.154326 0.0330398 0.049911 0.0819955 0.0261013 0.132725 0.0650581 0.158202 0.264214 0.199262 0.0225308 0.0589689 0.0922809 0.0172786 0.146638 0.0505515 0.163241 0.294431 0.137031 0.0395797 1273.77 1307.23 796.478 829.936 0 35000
 290213 98965 -0 46.2699 0.00475631 0.0555396 0.114663 0.0370079 0.164936 0.0574645 0.138572 0.23115 0.195911 0.001497 0.0755548 0.087751 0.0361043 0.154412 0.0596161 0.162425 0.230759 0.191881 0.010432 0.0777935 0.113784 0.0313851 0.175657 0.0544996 0.131423 0.219224 0.185803 0.00091303 0.0962241 0.168841 0.0412837 0.148205 0.0492611 0.160132 0.195238 0.139903 960.817 990.17 676.387 705.74 0 35000
